,property_type,room_type,bed_type,minimum_nights,maximum_nights,cancellation_policy,last_scraped,calendar_last_scraped,accommodates,bedrooms,beds,number_of_reviews,bathrooms,price,extra_people,guests_included
2792,Apartment,Entire home/apt,Real Bed,2,1124,moderate,2/16/2019 5:00,2/16/2019 5:00,3,1,2,40,1,60,5,2
2793,Apartment,Entire home/apt,Real Bed,32,330,flexible,3/8/2019 5:00,3/8/2019 5:00,2,1,1,1,1,49,0,1
2794,Apartment,Private room,Real Bed,30,1125,flexible,3/11/2019 4:00,3/11/2019 4:00,2,0,1,0,1,683,0,1
2795,Hotel,Private room,Real Bed,1,90,strict_14_with_grace_period,3/11/2019 4:00,3/11/2019 4:00,1,1,1,1,1,228,0,1
2796,Apartment,Entire home/apt,Real Bed,2,1125,moderate,3/8/2019 5:00,3/8/2019 5:00,6,2,3,23,1,94,15,4
2797,House,Private room,Real Bed,1,1125,strict_14_with_grace_period,3/7/2019 5:00,3/7/2019 5:00,1,4,1,1,1,70,30,1
2798,Loft,Entire home/apt,Real Bed,32,1125,strict_14_with_grace_period,3/8/2019 5:00,3/8/2019 5:00,2,0,2,1,1,50,0,1
2799,Serviced apartment,Entire home/apt,Real Bed,3,1125,strict_14_with_grace_period,3/11/2019 4:00,3/11/2019 4:00,2,0,1,4,1,1994,0,1
2800,Condominium,Entire home/apt,Real Bed,1,1125,moderate,3/11/2019 4:00,3/11/2019 4:00,7,3,4,6,2,1515,0,7
2801,Loft,Entire home/apt,Real Bed,1,1125,flexible,2/16/2019 5:00,2/16/2019 5:00,2,0,2,1,1,60,0,2
2802,House,Entire home/apt,Real Bed,1,1125,strict_14_with_grace_period,2/11/2019 5:00,2/11/2019 5:00,16,0,1,0,1,1444,0,1
2803,Apartment,Entire home/apt,Real Bed,32,330,moderate,3/8/2019 5:00,3/8/2019 5:00,2,1,1,0,1,100,0,2
2804,Apartment,Private room,Real Bed,1,1125,flexible,2/18/2019 5:00,2/18/2019 5:00,1,0,1,1,1,548,0,1
2805,Apartment,Entire home/apt,Real Bed,2,28,strict_14_with_grace_period,2/16/2019 5:00,2/16/2019 5:00,4,1,2,0,1,90,0,1
2806,Farm stay,Private room,Real Bed,2,9,flexible,3/6/2019 5:00,3/6/2019 5:00,2,1,1,12,1,169,0,1
2807,Apartment,Private room,Real Bed,1,1125,flexible,3/8/2019 5:00,3/8/2019 5:00,3,1,3,34,1.5,79,0,1
2808,Apartment,Private room,Real Bed,1,1125,strict_14_with_grace_period,3/11/2019 4:00,3/11/2019 4:00,2,0,1,6,1,628,100,1
2809,Apartment,Entire home/apt,Real Bed,2,7,strict_14_with_grace_period,3/11/2019 4:00,3/11/2019 4:00,5,2,3,45,1,502,100,4
2810,Condominium,Entire home/apt,Real Bed,1,1125,flexible,3/6/2019 5:00,3/6/2019 5:00,4,1,1,36,1,99,5,2
